,numero,intensitemax
0,coupe_0,-37.563020126372294
1,coupe_1,-38.21673717678103
2,coupe_2,-39.2900861479267
3,coupe_3,-52.491315786135566
4,coupe_4,-40.40377707847591
5,coupe_5,-38.41174959922844
6,coupe_6,-41.275060767833196
7,coupe_7,-32.546982452020146
8,coupe_8,-41.42374591368758
9,coupe_9,-40.73567883898256
10,coupe_10,-43.25917191174469
11,coupe_11,-37.576660664158375
12,coupe_12,-39.19937881197852
13,coupe_13,-36.17072756915149
14,coupe_14,-39.56826140960193
15,coupe_15,-37.31251755566888
